player_id,passing_touchdowns,passing_yards,interceptions_thrown,rush_touchdowns,rush_yards,receiving_touchdowns,receiving_yards,receptions,punt_return_touchdown,fumbles_recovered_for_touchdown,kickoff_return_touchdown,fumbles_lost
Mac Jones,1,281,0,0,0,0,0,0,,,,0
Damien Harris,0,0,0,0,100,0,17,2,,,,1
James White,0,0,0,0,12,0,49,6,,,,0
Jonnu Smith,0,0,0,0,6,0,42,5,,0,,0
Brandon Bolden,0,0,0,0,5,0,0,0,0,,0,0
Rhamondre Stevenson,0,0,0,0,2,0,9,1,,,,1
Nelson Agholor,0,0,0,0,0,1,72,5,,,,0
Jakobi Meyers,0,0,0,0,0,0,44,6,,,,0
Hunter Henry,0,0,0,0,0,0,31,3,,,,0
Kendrick Bourne,0,0,0,0,0,0,17,1,,,,0
Jonathan Jones,,,,,,,,,,0,,
Kyle Van Noy,,,,,,,,,,0,,
Josh Uche,,,,,,,,,,0,,
Kyle Dugger,,,,,,,,,,0,,
Devin McCourty,,,,,,,,,,0,,
Ja'Whaun Bentley,,,,,,,,,,0,,
Lawrence Guy,,,,,,,,,,0,,
Dont'a Hightower,,,,,,,,,,0,,
Matt Judon,,,,,,,,,,0,,
Davon Godchaux,,,,,,,,,,0,,
J.C. Jackson,,,,,,,,,,0,,
Adrian Phillips,,,,,,,,,,0,,
Jalen Mills,,,,,,,,,,0,,
Christian Barmore,,,,,,,,,,0,,
Carl Davis,,,,,,,,,,0,,
Joejuan Williams,,,,,,,,,,0,,
Chase Winovich,,,,,,,,,,0,,
David Andrews,,,,,,,,,,0,,
Gunner Olszewski,,,,,,,,,0,,0,
Nick Folk,,,,,,,,,,,,
Jake Bailey,,,,,,,,,,,,
